"","csa_code_origin","csa_code_dest","CarrID","yearq","Segid","seg_entry_tplus1","Dist","Dist_sq","pop_origin","pop_dest","ln2002pssgrdens","seg_entry_t","nonstop_comps","orig_share","dest_share","any_origin","any_dest","scheduled_flights","fstseats","busseats","ecoseats","scheduled_aircraft_max_take_off_weight","scheduled_aircraft_hold_volume","scheduled_aircraft_range_stat_miles","capacity_t","capacity_tplus1"
"112",1,11,4,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.0268242614191623,0.0101258836266372,1,1,0,0,0,0,0,0,0,0,0
"113",1,11,5,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.0730201870088416,0.0552232152334048,1,1,0,0,0,0,0,0,0,0,0
"114",1,11,6,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.0612133022615695,0,1,0,0,0,0,0,0,0,0,0,0
"115",1,11,7,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.0277575708511389,0.0814372952356691,1,1,0,0,0,0,0,0,0,0,0
"116",1,11,8,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.131846437637698,0.337328493288329,1,1,0,0,0,0,0,0,0,0,0
"117",1,11,9,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",1,11,10,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.0291488611196244,0.0467007734165481,1,1,0,0,0,0,0,0,0,0,0
"119",1,11,11,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.000485737250842812,0.102069756087206,1,1,0,0,0,0,0,0,0,0,0
"120",1,11,12,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.527414663482389,0.217824668662124,1,1,0,0,0,0,0,0,0,0,0
"121",1,12,1,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,1,3,0.122288978968734,0.160534342604951,1,1,0,0,0,0,0,0,0,0,0
"122",1,12,2,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,0,3,0,0.0566252856811712,0,1,0,0,0,0,0,0,0,0,0
